client,project_id,zip_package_name,file_name
AP,251353,"The Other Canon of Economics, Volume 2.zip",00 Frontmatter.docx
AP,251353,"The Other Canon of Economics, Volume 2.zip",12 About the Author.docx
AP,251353,"The Other Canon of Economics, Volume 2.zip",PKG instructions _Anthem.docx
AP,251374,Handover_to_Production_061123.zip,CIP Page_Authored_AP.docx
AP,251374,Handover_to_Production_061123.zip,HANDOVER TO PRODUCTION FORM.DOC (1).docx
AP,251374,Handover_to_Production_061123.zip,Author's Name (bottom of page).docx
AP,251374,Handover_to_Production_061123.zip,Book Title (on  top).docx
AP,251374,Handover_to_Production_061123.zip,Lion and the Sun.docx
AP,251374,Handover_to_Production_061123.zip,A Bonakdarian (Title Page with PHF Acknowledgment).docx
AP,251374,Handover_to_Production_061123.zip,AA Bonakdarian (Other Front Matter).docx
AP,251374,Handover_to_Production_061123.zip,AAA Bonakdarian (Dedication Page).docx
AP,251374,Handover_to_Production_061123.zip,AAAA Bonakdarian (Aknowledgments).docx
AP,251374,Handover_to_Production_061123.zip,B Bonakdarian (Table of Contents).docx
AP,251374,Handover_to_Production_061123.zip,C Bonakdarian (Introduction).docx
AP,251374,Handover_to_Production_061123.zip,D Bonakdarian ( Chapter 1).docx
AP,251374,Handover_to_Production_061123.zip,E Bonakdarian ( Chapter 2).docx
AP,251374,Handover_to_Production_061123.zip,F Bonakdarian ( Chapter 3).docx
AP,251374,Handover_to_Production_061123.zip,G Bonakdarian ( Chapter 4).docx
AP,251374,Handover_to_Production_061123.zip,H Bonakdarian ( Chapter 5).docx
AP,251374,Handover_to_Production_061123.zip,I Bonakdarian ( Chapter 6).docx
AP,251374,Handover_to_Production_061123.zip,J Bonakdarian ( Chapter 7).docx
AP,251374,Handover_to_Production_061123.zip,K Bonakdarian ( Chapter 8).docx
AP,251374,Handover_to_Production_061123.zip,L Bonakdarian ( Chapter 9).docx
AP,251374,Handover_to_Production_061123.zip,M Bonakdarian (Conclusion).docx
AP,251374,Handover_to_Production_061123.zip,N Bonakdarian (Bibliography).docx
AP,251375,Handover_to_Production_061123.zip,Anthem Impact_series_blurb.docx
AP,251375,Handover_to_Production_061123.zip,CIP Page_Authored_AP.docx
AP,251375,Handover_to_Production_061123.zip,Elleman_MQ_3rdMarch2023_Complete.docx
AP,251375,Handover_to_Production_061123.zip,HANDOVER TO PRODUCTION FORM.DOC (1).docx
AP,251375,Handover_to_Production_061123.zip,Coincidence in Modern History 28 May 2023.docx
AP,251434,Handover_to_Production_061123.zip,Coincidence in Modern History 28 May 2023.docx
AP,251434,Handover_to_Production_061123.zip,Anthem Impact_series_blurb.docx
AP,251434,Handover_to_Production_061123.zip,CIP Page_Authored_AP.docx
AP,251434,Handover_to_Production_061123.zip,Elleman_MQ_3rdMarch2023_Complete.docx
AP,251434,Handover_to_Production_061123.zip,HANDOVER TO PRODUCTION FORM.DOC (1).docx
AP,251441,Handover_to_Production_061123.zip,Coincidence in Modern History 28 May 2023.docx
AP,251441,Handover_to_Production_061123.zip,Anthem Impact_series_blurb.docx
AP,251441,Handover_to_Production_061123.zip,CIP Page_Authored_AP.docx
AP,251441,Handover_to_Production_061123.zip,Elleman_MQ_3rdMarch2023_Complete.docx
AP,251441,Handover_to_Production_061123.zip,HANDOVER TO PRODUCTION FORM.DOC (1).docx
AP,251449,Handover_to_Production_061123.zip,Coincidence in Modern History 28 May 2023.docx
AP,251449,Handover_to_Production_061123.zip,Anthem Impact_series_blurb.docx
AP,251449,Handover_to_Production_061123.zip,CIP Page_Authored_AP.docx
AP,251449,Handover_to_Production_061123.zip,Elleman_MQ_3rdMarch2023_Complete.docx
AP,251449,Handover_to_Production_061123.zip,HANDOVER TO PRODUCTION FORM.DOC (1).docx
BLO,251273,Political Science in Africa.zip,Political Science in Africa MS.docx
BLO,251277,Political Science in Africa.zip,Political Science in Africa MS.docx
BLO,251278,Testing Political Science in India MS.zip,Testing Political Science in India MS.docx
BLO,251290,Testing Political Science in India MS.zip,Testing Political Science in India MS.docx
BLO,251295,Designing the Domestic Posthuman.zip,0.1 Prelim.docx
BLO,251295,Designing the Domestic Posthuman.zip,0.2 Designing the Domestic Posthuman Manuscript.docx
BLO,251296,Testing Political Science in India MS.zip,Testing Political Science in India MS.docx
